-- No Theme --,-- Nici o tema --,module,Magento_Config
-- Please Select --,-- Selectati --,module,Magento_Backend
-- Please Select --,-- Selectati --,module,Magento_Catalog
-- Please select --,-- Selectati --,module,Magento_Catalog
-- Please Select --,-- Selectati --,module,Magento_Cms
-- Please Select --,-- Selectati --,module,Magento_Customer
# of Items vs. Destination,# de articole vs. Destinatie,module,Magento_OfflineShipping
#VALUE!,Anulat,module,Magento_Downloadable
%1 - %2,%1 - %2,module,Magento_Catalog
%1 - %2,%1 - %2,module,Magento_CatalogSearch
%1 - Discounts and Coupons,%1 - Reduceri si cupoane,module,Magento_SalesRule
%1 - Special Products,%1 - Produse speciale,module,Magento_Catalog
%1 (Default),%1 (Implicit),module,Magento_Config
%1 / %2 rate:,Rata %1 / %2 :,module,Magento_Sales
%1 %2,%1 %2,module,Magento_Review
%1 <span>x</span> %2 <span>px.</span>,%1 <span>x</span> %2 <span>px.</span>,module,Magento_Catalog
%1 An empty value is allowed as well.,%1 O valoare nula este permisa de asemenea.,module,Magento_Config
%1 and above,%1 si peste,module,Magento_Catalog
%1 and above,%1 si peste,module,Magento_CatalogSearch
%1 and greater,%1 si mai mare,module,Magento_CatalogSearch
%1 cache type(s) disabled.,%1 tip(uri) cache dezactivat(e).,module,Magento_Backend
%1 cache type(s) enabled.,%1 tip(uri) cache activat(e).,module,Magento_Backend
%1 cache type(s) refreshed.,%1 tip(uri) cache reîmprospatat(e).,module,Magento_Backend
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","%1 Regulile de pret cos bazate pe atributul ""%2"" au fost dezactivate.",module,Magento_SalesRule
%1 class doesn't implement \Magento\Payment\Model\MethodInterface,Clasa %1 nu implementeaza \Magento\Plata\Model\InterfataModalitate,module,Magento_Payment
%1 coupon(s) have been generated.,%1 cupoane au fost generate.,module,Magento_SalesRule
%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface,%1 nu se extinde\Magento\Catalog\Model\Nivel\Filtru\Dinamic\InterfataAlgoritmi,module,Magento_Catalog
%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice,%1 nu se extinde \Magento\Catalog\Model\ModelResurse\Produs\Indexare\Pret\PretImplicit,module,Magento_Catalog
